question,sql,description,created_at,updated_at
Which ticket types generate the most revenue->,"SELECT tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code GROUP BY tp.ticket_name ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue by tariff association.,"SELECT t.name AS tarifverbund, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id GROUP BY t.name ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue by reporting office.,"SELECT m.meldestelle_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN meldestellen m ON tv.meldestelle_code = m.meldestelle_code GROUP BY m.meldestelle_name ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue by postal code.,"SELECT tv.plz, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv GROUP BY tv.plz ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show top 10 postal codes by revenue.,"SELECT tv.plz, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv GROUP BY tv.plz ORDER BY revenue_eur DESC LIMIT 10;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue by federal state (via postal code).,"SELECT r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
For 2025: revenue per state and per month.,"SELECT r.bundesland_name, tv.monat, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE tv.jahr = 2025 GROUP BY r.bundesland_name, tv.monat ORDER BY r.bundesland_name, tv.monat;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which states have the highest revenue->,"SELECT r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name ORDER BY revenue_eur DESC LIMIT 5;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which states have the most tickets sold->,"SELECT r.bundesland_name, SUM(tv.anzahl) AS tickets_sold FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name ORDER BY tickets_sold DESC LIMIT 5;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
"Per state, show top 3 ticket types by revenue.","WITH revenue_by_state AS (SELECT r.bundesland_name, tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name, tp.ticket_name), ranked AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY bundesland_name ORDER BY revenue_eur DESC) AS rn FROM revenue_by_state) SELECT bundesland_name, ticket_name, revenue_eur FROM ranked WHERE rn <= 3 ORDER BY bundesland_name, revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show top 5 cities by revenue.,"SELECT p.ort, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz GROUP BY p.ort ORDER BY revenue_eur DESC LIMIT 5;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which postal codes belong to which state->,"SELECT p.plz, p.ort, r.bundesland_name FROM postleitzahlen p JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 ORDER BY p.plz;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue trend per month from 2024 to 2025.,"SELECT jahr, monat, SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe WHERE jahr IN (2024, 2025) GROUP BY jahr, monat ORDER BY jahr, monat;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Top 10 postal codes by tickets sold.,"SELECT tv.plz, SUM(tv.anzahl) AS tickets_sold FROM ticket_verkaeufe tv GROUP BY tv.plz ORDER BY tickets_sold DESC LIMIT 10;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which ticket type grows the most from 2024 to 2025->,"SELECT tp.ticket_name, SUM(CASE WHEN tv.jahr = 2025 THEN tv.umsatz_eur ELSE 0 END) - SUM(CASE WHEN tv.jahr = 2024 THEN tv.umsatz_eur ELSE 0 END) AS revenue_growth FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code WHERE tv.jahr IN (2024, 2025) GROUP BY tp.ticket_name ORDER BY revenue_growth DESC LIMIT 1;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show top 5 states by revenue growth (20242025).,"SELECT r.bundesland_name, SUM(CASE WHEN tv.jahr = 2025 THEN tv.umsatz_eur ELSE 0 END) - SUM(CASE WHEN tv.jahr = 2024 THEN tv.umsatz_eur ELSE 0 END) AS revenue_growth FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE tv.jahr IN (2024, 2025) GROUP BY r.bundesland_name ORDER BY revenue_growth DESC LIMIT 5;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
How many tickets were sold in total->,SELECT SUM(anzahl) AS total_tickets FROM ticket_verkaeufe;,,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue in Berlin by month.,"SELECT tv.jahr, tv.monat, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE r.bundesland_name = 'Berlin' GROUP BY tv.jahr, tv.monat ORDER BY tv.jahr, tv.monat;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which cities have the highest revenue->,"SELECT p.ort, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz GROUP BY p.ort ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue by city (via postal code).,"SELECT p.ort, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz GROUP BY p.ort ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which reporting offices deliver the most revenue in NRW->,"SELECT m.meldestelle_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN meldestellen m ON tv.meldestelle_code = m.meldestelle_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE r.bundesland_name = 'Nordrhein-Westfalen' GROUP BY m.meldestelle_name ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show reporting office revenue and its state.,"SELECT m.meldestelle_name, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN meldestellen m ON tv.meldestelle_code = m.meldestelle_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY m.meldestelle_name, r.bundesland_name ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which tariff associations are especially strong in which states->,"WITH revenue_by_state AS (SELECT t.name AS tarifverbund, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY t.name, r.bundesland_name), ranked AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY tarifverbund ORDER BY revenue_eur DESC) AS rn FROM revenue_by_state) SELECT tarifverbund, bundesland_name, revenue_eur FROM ranked WHERE rn <= 3 ORDER BY tarifverbund, revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show ticket sales (quantity) per state.,"SELECT r.bundesland_name, SUM(tv.anzahl) AS tickets_sold FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name ORDER BY tickets_sold DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show average price per ticket type (from sales) and compare to ticket_produkte.,"SELECT tp.ticket_name, SUM(tv.umsatz_eur) / NULLIF(SUM(tv.anzahl), 0) AS avg_sale_price_eur, tp.preis_eur AS catalog_price_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code GROUP BY tp.ticket_name, tp.preis_eur ORDER BY tp.ticket_name;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue in Bavaria by ticket type.,"SELECT tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE r.bundesland_name = 'Bayern' GROUP BY tp.ticket_name ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Find postal codes with very high revenue and show the state.,"SELECT p.plz, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY p.plz, r.bundesland_name ORDER BY revenue_eur DESC LIMIT 10;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which month has the highest revenue->,"SELECT jahr, monat, SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe GROUP BY jahr, monat ORDER BY revenue_eur DESC LIMIT 1;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which month has the most ticket sales->,"SELECT jahr, monat, SUM(anzahl) AS tickets_sold FROM ticket_verkaeufe GROUP BY jahr, monat ORDER BY tickets_sold DESC LIMIT 1;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue per quarter.,"SELECT jahr, ((monat - 1) / 3)::INT + 1 AS quarter, SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe GROUP BY jahr, quarter ORDER BY jahr, quarter;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
"Show revenue per week (if possible, otherwise explain why not).","SELECT date_part('year', gueltig_ab) AS jahr, date_part('week', gueltig_ab) AS week, SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe WHERE gueltig_ab IS NOT NULL GROUP BY jahr, week ORDER BY jahr, week;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue for January 2025.,SELECT SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe WHERE jahr = 2025 AND monat = 1;,,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue for Q2 2024.,"SELECT SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe WHERE jahr = 2024 AND monat IN (4, 5, 6);",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Compare 2024 vs 2025: revenue per month side-by-side.,"SELECT monat, SUM(CASE WHEN jahr = 2024 THEN umsatz_eur ELSE 0 END) AS revenue_2024, SUM(CASE WHEN jahr = 2025 THEN umsatz_eur ELSE 0 END) AS revenue_2025 FROM ticket_verkaeufe WHERE jahr IN (2024, 2025) GROUP BY monat ORDER BY monat;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show top 5 months by revenue in 2025.,"SELECT monat, SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe WHERE jahr = 2025 GROUP BY monat ORDER BY revenue_eur DESC LIMIT 5;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
"For each tariff association, show revenue by state.","SELECT t.name AS tarifverbund, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY t.name, r.bundesland_name ORDER BY t.name, revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
"For each ticket type, show revenue by state.","SELECT tp.ticket_name, r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY tp.ticket_name, r.bundesland_name ORDER BY tp.ticket_name, revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
For 2025: which months are above plan->,"WITH actual AS (SELECT jahr, monat, SUM(umsatz_eur) AS actual_revenue FROM ticket_verkaeufe GROUP BY jahr, monat), plan AS (SELECT jahr, monat, SUM(umsatz_eur) AS planned_revenue FROM plan_umsatz GROUP BY jahr, monat) SELECT a.jahr, a.monat, a.actual_revenue, p.planned_revenue FROM actual a JOIN plan p ON a.jahr = p.jahr AND a.monat = p.monat WHERE a.jahr = 2025 AND a.actual_revenue > p.planned_revenue ORDER BY a.monat;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show the revenue trend for Deutschlandticket over time.,"SELECT tv.jahr, tv.monat, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code WHERE tp.ticket_name ILIKE '%deutschlandticket%' GROUP BY tv.jahr, tv.monat ORDER BY tv.jahr, tv.monat;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which ticket types are strongest in NRW->,"SELECT tp.ticket_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE r.bundesland_name = 'Nordrhein-Westfalen' GROUP BY tp.ticket_name ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show December 2024 revenue by state.,"SELECT r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE tv.jahr = 2024 AND tv.monat = 12 GROUP BY r.bundesland_name ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which combination (ticket type + month) generates the most revenue->,"SELECT tp.ticket_name, tv.jahr, tv.monat, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code GROUP BY tp.ticket_name, tv.jahr, tv.monat ORDER BY revenue_eur DESC LIMIT 1;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show top 10 combinations (tariff association + month) by revenue.,"SELECT t.name AS tarifverbund, tv.jahr, tv.monat, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id GROUP BY t.name, tv.jahr, tv.monat ORDER BY revenue_eur DESC LIMIT 10;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show average monthly revenue for 2024 and 2025.,"WITH monthly AS (SELECT jahr, monat, SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe WHERE jahr IN (2024, 2025) GROUP BY jahr, monat) SELECT jahr, AVG(revenue_eur) AS avg_monthly_revenue_eur FROM monthly GROUP BY jahr ORDER BY jahr;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which months have unusually low revenue (outliers)->,"SELECT jahr, monat, SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe GROUP BY jahr, monat ORDER BY revenue_eur ASC LIMIT 5;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue per month only for active tariff associations.,"SELECT tv.jahr, tv.monat, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id WHERE t.status = 'aktiv' GROUP BY tv.jahr, tv.monat ORDER BY tv.jahr, tv.monat;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Show revenue per month excluding Berlin.,"SELECT tv.jahr, tv.monat, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE r.bundesland_name <> 'Berlin' GROUP BY tv.jahr, tv.monat ORDER BY tv.jahr, tv.monat;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Top 10 tariff associations by revenue.,"SELECT t.name AS tarifverbund, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id GROUP BY t.name ORDER BY revenue_eur DESC LIMIT 10;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Top 10 states by revenue.,"SELECT r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name ORDER BY revenue_eur DESC LIMIT 10;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which tariff associations are strongest in Bavaria->,"SELECT t.name AS tarifverbund, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 WHERE r.bundesland_name = 'Bayern' GROUP BY t.name ORDER BY revenue_eur DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Top 10 reporting offices by revenue.,"SELECT m.meldestelle_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN meldestellen m ON tv.meldestelle_code = m.meldestelle_code GROUP BY m.meldestelle_name ORDER BY revenue_eur DESC LIMIT 10;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Bottom 5 states by revenue.,"SELECT r.bundesland_name, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name ORDER BY revenue_eur ASC LIMIT 5;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which ticket types have the lowest sales->,"SELECT tp.ticket_name, SUM(tv.anzahl) AS tickets_sold FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code GROUP BY tp.ticket_name ORDER BY tickets_sold ASC LIMIT 5;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which tariff associations have the lowest revenue in 2025->,"SELECT t.name AS tarifverbund, SUM(tv.umsatz_eur) AS revenue_eur FROM ticket_verkaeufe tv JOIN tarifverbuende t ON tv.tarifverbund_id = t.tarifverbund_id WHERE tv.jahr = 2025 GROUP BY t.name ORDER BY revenue_eur ASC LIMIT 10;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which states have the highest average revenue per reporting office->,"SELECT r.bundesland_name, SUM(tv.umsatz_eur) / NULLIF(COUNT(DISTINCT tv.meldestelle_code), 0) AS avg_revenue_per_office FROM ticket_verkaeufe tv JOIN postleitzahlen p ON CAST(tv.plz AS VARCHAR) = p.plz JOIN regionen_bundesland r ON p.bundesland_code2 = r.bundesland_code2 GROUP BY r.bundesland_name ORDER BY avg_revenue_per_office DESC;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which postal codes have highest revenue per ticket (revenue/quantity)->,"SELECT tv.plz, SUM(tv.umsatz_eur) / NULLIF(SUM(tv.anzahl), 0) AS revenue_per_ticket FROM ticket_verkaeufe tv GROUP BY tv.plz ORDER BY revenue_per_ticket DESC LIMIT 10;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Which ticket type has highest revenue per sold unit->,"SELECT tp.ticket_name, SUM(tv.umsatz_eur) / NULLIF(SUM(tv.anzahl), 0) AS revenue_per_ticket FROM ticket_verkaeufe tv JOIN ticket_produkte tp ON tv.ticket_code = tp.ticket_code GROUP BY tp.ticket_name ORDER BY revenue_per_ticket DESC LIMIT 1;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Are there seasonal peaks (summer/Christmas)->,"SELECT monat, SUM(umsatz_eur) AS revenue_eur FROM ticket_verkaeufe GROUP BY monat ORDER BY monat;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
Compare actual revenue (ticket_verkaeufe) with planned revenue (plan_umsatz) per month.,"WITH actual AS (SELECT jahr, monat, SUM(umsatz_eur) AS actual_revenue FROM ticket_verkaeufe GROUP BY jahr, monat), plan AS (SELECT jahr, monat, SUM(umsatz_eur) AS planned_revenue FROM plan_umsatz GROUP BY jahr, monat) SELECT COALESCE(a.jahr, p.jahr) AS jahr, COALESCE(a.monat, p.monat) AS monat, a.actual_revenue, p.planned_revenue FROM actual a FULL OUTER JOIN plan p ON a.jahr = p.jahr AND a.monat = p.monat ORDER BY jahr, monat;",,2026-05-11T12:31:53+00:00,2026-05-11T12:31:53+00:00
